feature,importance
direction_target_1d,0.44180602
return_target_10d,0.10603961
volatility_target_5d,0.051782943
Crypto_returns_mean_x_ETF_returns_mean,0.026491111
sma_10,0.020367479
bb_lower,0.015834175
Crypto_returns_mean_x_Crypto_returns_std,0.012948875
regime_duration,0.012789099
price_acceleration_20,0.012520146
momentum_10,0.009736476
volatility_5,0.009468204
vwap_approx,0.009435367
return_target_5d,0.009221176
price_sma20_ratio,0.008953617
Crypto_returns_mean_x_Stock_returns_mean,0.008839639
high_low_spread,0.007968072
corr_ETF_Stock,0.00720323
price_range,0.0066286093
rsi,0.0062770494
volatility_target_10d,0.0057306406
ma_convergence_rate,0.0056014145
Crypto_volume_sum,0.0055370727
volume_ratio,0.0054333783
momentum_5,0.0053763874
corr_Crypto_ETF,0.0050782897
ETF_returns_mean_x_Stock_returns_mean,0.005068791
returns_lag_5,0.0049378225
returns_lag_1,0.004861877
close_vwap_ratio,0.0047109732
returns_lag_3,0.004643584
trend_regime_change,0.0045914794
Crypto_returns_std,0.0045303563
ETF_returns_mean,0.0044870167
close,0.004349731
Stock_returns_std,0.004336025
Stock_rsi_mean,0.0043313685
ema_20,0.004306637
Crypto_returns_mean,0.0042717573
corr_Crypto_Stock,0.004075522
macd_signal,0.0039797453
ETF_returns_std,0.0038473953
Stock_returns_mean,0.00382099
Crypto_volatility_20_mean,0.0038178356
ETF_returns_mean_x_Crypto_returns_std,0.003733312
liquidity_ratio,0.003705305
Stock_volume_sum,0.0036975292
ETF_volatility_20_mean,0.0034791378
Stock_returns_mean_x_Crypto_returns_std,0.0034782058
Crypto_rsi_mean,0.0033862325
high,0.003309087
ETF_volume_sum,0.003307269
volume_sma_10,0.0031895065
ETF_rsi_mean,0.0031519518
volatility_20,0.003041599
price_acceleration_5,0.0029810064
momentum_20,0.0029262425
volume,0.0028710603
price_sma10_ratio,0.002751145
price_sma5_ratio,0.0026716762
low,0.0026306822
price_target_5d,0.0026241094
price_acceleration_10,0.0025510457
volatility_10,0.0024813039
bb_position,0.0024167872
volume_momentum_10,0.0024006688
ma_convergence,0.0022592824
volume_momentum_5,0.0022437563
open,0.0021629892
returns_lag_2,0.0021411977
price_sma50_ratio,0.0020518615
returns,0.002042536
price_change,0.0019381861
trend_strength_20,0.0017556224
Stock_volatility_20_mean,0.0016877229
turnover,0.0016484178
price_target_1d,0.0016159649
ema_50,0.0015870424
composite_regime_change,0.0015036712
open_close_spread,0.0014448054
macd_histogram,0.0013684253
ema_5,0.0013317165
turnover_ma_10,0.0012740685
close_lag_5,0.0012458957
sma_20,0.0011552615
bb_width,0.0010282252
ema_12,0.0008664604
price_target_10d,0.00065040065
direction_target_5d,0.0006281352
sma_5,0.00051150017
close_lag_2,0.00047711845
sma_50,0.00030130663
macd,0.00025654898
ema_10,0.0
log_returns,0.0
close_lag_1,0.0
ema_26,0.0
bb_middle,0.0
bb_upper,0.0
close_lag_3,0.0
volatility_target_1d,0.0
volatility_regime_change,0.0
direction_target_10d,0.0
